inst_name,state_abbr,city,county_name,enrollment_men,enrollment_women,enrollment_total,ath_classification_code
Emperor's College of Traditional Oriental Medicine,CA,Santa Monica,Los Angeles County,,,,
Empire College,CA,Santa Rosa,Sonoma County,,,,
Evergreen Valley College,CA,San Jose,Santa Clara County,894.0,1029.0,1923.0,17.0
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,CA,Los Angeles,Los Angeles County,,,,
FIDM-Fashion Institute of Design & Merchandising-San Francisco,CA,San Francisco,San Francisco County,,,,
Feather River Community College District,CA,Quincy,Plumas County,205.0,216.0,421.0,17.0
Federico Beauty Institute,CA,Sacramento,Sacramento County,,,,
Fielding Graduate University,CA,Santa Barbara,Santa Barbara County,,,,
Five Branches University,CA,Santa Cruz,Santa Cruz County,,,,
Redondo Beach Beauty College,CA,Torrance,Los Angeles County,,,,
Foothill College,CA,Los Altos Hills,Santa Clara County,1515.0,1687.0,3202.0,17.0
Franciscan School of Theology,CA,San Diego,San Diego County,,,,
Fredrick and Charles Beauty College,CA,Eureka,Humboldt County,,,,
Fresno City College,CA,Fresno,Fresno County,1923.0,2672.0,4595.0,17.0
Fresno Pacific University,CA,Fresno,Fresno County,421.0,972.0,1393.0,5.0
Foothill-De Anza Community College District,CA,Los Altos Hills,Santa Clara County,,,,
Fuller Theological Seminary,CA,Pasadena,Los Angeles County,,,,
Fullerton College,CA,Fullerton,Orange County,3068.0,3460.0,6528.0,17.0
Gavilan College,CA,Gilroy,Santa Clara County,630.0,774.0,1404.0,17.0
Gemological Institute of America-Carlsbad,CA,Carlsbad,San Diego County,,,,
Glendale Community College,CA,Glendale,Los Angeles County,2480.0,3024.0,5504.0,17.0
Glendale Career College,CA,Glendale,Los Angeles County,,,,
Golden Gate University,CA,San Francisco,San Francisco County,,,,
Golden West College,CA,Huntington Beach,Orange County,1336.0,1567.0,2903.0,17.0
Graduate Theological Union,CA,Berkeley,Alameda County,,,,
Grossmont-Cuyamaca Community College District,CA,El Cajon,San Diego County,,,,
Grossmont College,CA,El Cajon,San Diego County,1607.0,2177.0,3784.0,17.0
Salon Success Academy-Riverside,CA,Riverside,Riverside County,,,,
Hartnell College,CA,Salinas,Monterey County,1281.0,1719.0,3000.0,17.0
Harvey Mudd College,CA,Claremont,Los Angeles County,,,,
Hilltop Beauty School,CA,Daly City,San Mateo County,,,,
Holy Names University,CA,Oakland,Alameda County,169.0,323.0,492.0,5.0
Pacifica Graduate Institute,CA,Carpinteria,Santa Barbara County,,,,
California State Polytechnic University-Humboldt,CA,Arcata,Humboldt County,1885.0,2758.0,4643.0,5.0
Humphreys University-Stockton and Modesto Campuses,CA,Stockton,San Joaquin County,,,,
Imperial Valley College,CA,Imperial,Imperial County,1203.0,1859.0,3062.0,17.0
Institute for Business and Technology,CA,Santa Clara,Santa Clara County,,,,
Interior Designers Institute,CA,Newport Beach,Orange County,,,,
International School of Cosmetology,CA,Los Angeles,Los Angeles County,,,,
Irvine Valley College,CA,Irvine,Orange County,2064.0,1671.0,3735.0,17.0
Bellus Academy-El Cajon,CA,El Cajon,San Diego County,,,,
American Jewish University,CA,Los Angeles,Los Angeles County,,,,
Reedley College,CA,Reedley,Fresno County,639.0,608.0,1247.0,17.0
Life Pacific University,CA,San Dimas,Los Angeles County,157.0,201.0,358.0,9.0
University of La Verne,CA,La Verne,Los Angeles County,1137.0,1754.0,2891.0,6.0
Laguna College of Art and Design,CA,Laguna Beach,Orange County,,,,
Lake Tahoe Community College,CA,South Lake Tahoe,El Dorado County,323.0,269.0,592.0,17.0
Lancaster Beauty School,CA,Lancaster,Los Angeles County,,,,
Laney College,CA,Oakland,Alameda County,672.0,567.0,1239.0,17.0
Lassen Community College,CA,Susanville,Lassen County,297.0,158.0,455.0,17.0
Latin American Bible Institute,CA,La Puente,Los Angeles County,,,,
Life Chiropractic College West,CA,Hayward,Alameda County,,,,
Lincoln University,CA,Oakland,Alameda County,,,,
Southern California Seminary,CA,El Cajon,San Diego County,,,,
La Sierra University,CA,Riverside,Riverside County,484.0,657.0,1141.0,10.0
Loma Linda University,CA,Loma Linda,San Bernardino County,,,,
Long Beach City College,CA,Long Beach,Los Angeles County,3537.0,4473.0,8010.0,17.0
Southern California University of Health Sciences,CA,Whittier,Los Angeles County,,,,
Los Angeles Community College District Office,CA,Los Angeles,Los Angeles County,,,,
Los Angeles Harbor College,CA,Wilmington,Los Angeles County,647.0,737.0,1384.0,17.0
Los Angeles Pierce College,CA,Woodland Hills,Los Angeles County,1636.0,2039.0,3675.0,17.0
